Date;Incident & Description;Location;Fatalities;Injured;Status of case
1980;Mandai massacre;Tripura;400;0;N/A
1984;Meenambakkam bomb blast[2];Tamil Nadu;30;25;Verdict given
1987;1987 Haryana killings[3];Haryana;36;60;N/A
1991;Assassination of Rajiv Gandhi;Tamil Nadu;15;0;
1991;1991 Punjab killings[4];Punjab;126;200;N/A
1905;1991 Rudrapur bombings;Uttarakhand;41;140;
1993;1993 Bombay bombings[5][6];Mumbai;257;713;verdict given
1993;Palar blast;Karnataka;22;13;verdict given
1993;1993 bombing of RSS office in Chennai;Tamil Nadu;11;7;
1996;Brahmaputra Mail train bombing;Assam;33;150;N/A
1998;1998 Coimbatore bombings;Tamil Nadu;58;200;Verdict given
2000;Bagber massacre;Tripura;25;0;
2000;2000 Church bombings;Karnataka, Goa and Andhra Pradesh;0;0;Verdict given
2000;Nanoor massacre;West Bengal;11;0;Verdict given
2001;Charar-e-Sharief mosque attack;Charari Sharief;4;60;
2000;2000 terrorist attack on Red Fort[7];Delhi;3;14;Verdict given
2001;2001 Jammu and Kashmir legislative assembly car bombing;Jammu and Kashmir;38;0;
2001;2001 Indian Parliament attack in New Delhi;Delhi;7;18;Verdict given
2002;2002 Jaunpur train crash[8];N/A;12;80;
2002;Raghunath temple[9][10];Jammu;11;20;
2002;Rafiganj train wreck;Bihar;200;150;
2002;Raghunath temple[9][10];Jammu;14;45;
2002;2002 Mumbai bus bombing[11];Mumbai;2;14;
2002;Kurnool train crash;Andhra Pradesh;20;80;
2002;Attack on Akshardham temple;Gujarat;31;80;
2003;2003 Mumbai bombing[12];Mumbai;1;28;
2003;2003 Mumbai train bombing[13];Mumbai;10;0;
2003;2003 Mumbai bus bombing[14];Mumbai;4;32;
2003;25 August 2003 Mumbai bombings;Mumbai;52;0;
2004;Jammu railway station attack [15];Jammu;4;14;
2004;2004 Dhemaji school bombing;Assam;18;40;
2005;2005 Ram Janmabhoomi attack[16];Ayodhya;6;0;
2005;2005 Jaunpur train bombing[17];N/A;13;50;
2005;2005 Delhi bombings: Three powerful serial blasts in New Delhi at different places[18];Delhi;70;250;
2005;2005 Indian Institute of Science shooting;Karnataka;1;4;
2006;2006 Varanasi bombings: Three synchronized terrorist attacks in Varanasi in Shri Sankatmochan Mandir and Varanasi Cantonment Railway Station[19][20];Varanasi;21;62;
2006;2006 Mumbai train bombings: Series of 7 train bombing during the evening rush hour in Mumbai;Mumbai;209;500;
2006;2006 Malegaon bombings: Series of bomb blasts in the vicinity of a mosque in Malegaon, Maharashtra;Maharashtra;37;125;
2007;2007 Samjhauta Express bombings;Haryana;68;50;
2007;Mecca Masjid bombing;Hyderabad;13;0;
2007;August 2007 Hyderabad bombings - Two blasts in Hyderabad's Lumbini park and Gokul Chat.;Hyderabad;42;54;
2007;Ajmer Dargah bombing[21];Rajasthan;3;17;
2007;One blast in a movie theatre in the town of Ludhiana on the Muslim holy day of Eid ul-Fitr[21];Ludhiana;6;0;
2007;A series of near-simultaneous explosions at courthouse complexes in the cities of Lucknow, Varanasi, and Faizabad[21];Uttar Pradesh;16;70;
2008;Terror attack on CRPF camp in Rampur, Uttar Pradesh by Lashkar-e-Taiba,[22];Uttar Pradesh;8;5;
2008;Jaipur bombings: 9 bomb blasts along 6 areas in Jaipur;Jaipur;63;200;
2008;2008 Bangalore serial blasts: 8 low intensity bomb blasts in Bangalore;Bangalore;2;20;arrests made
2008;2008 Ahmedabad bombings: 17 serial bomb blasts in Ahmedabad;Gujarat;29;110;arrests made
2008;13 September 2008 Delhi bombings: 5 bomb blasts in Delhi markets;Delhi;33;130;
2008;27 September 2008 Delhi bombing: Bombings at Mehrauli area, 2 bomb blasts in Delhi flower market;Delhi;3;21;
2008;29 September 2008 western India bombings: 10 killed and 80 injured in bombings in Maharashtra (including Malegaon) and Gujarat bomb blasts;Maharashtra;10;80;
2008;2008 Agartala bombings;Agartala;4;100;
2008;2008 Imphal bombing;Imphal;17;40;
2008;2008 Assam bombings;Assam;81;470;
2008;2008 Mumbai attacks[23][24];Mumbai;171;239;Verdict given
2009;2009 Guwahati bombings[25];Assam;6;67;
2009;2009 Assam bombings[26];Assam;7;62;
2010;2010 Pune bombing[27];Pune;17;60;
2010;Silda camp attack;West Bengal;24;0;
2010;April 2010 Maoist attack in Dantewada;Chhattisgarh;84;8;
2010;2010 Dantewada bus bombing;Chhattisgarh;37;15;
2010;Jnaneswari Express train derailment;West Bengal;148;200;
2010;2010 Varanasi bombing[28];Varanasi;1;20;
2011;2011 Mumbai bombings;Mumbai;26;130;
2011;2011 Delhi bombing[29];Delhi;19;76;
2012;2012 attacks on Israeli diplomats;Delhi;0;4;
2012;2012 Pune bombings;Pune;0;1;
2013;2013 Hyderabad blasts;Hyderabad;16;119;
2013;March 2013 Srinagar attack;Jammu and Kashmir;7;10;
2013;2013 Bangalore blast;Bengaluru;0;16;
2013;2013 Naxal attack in Darbha valley;Chhattisgarh;28;32;
2013;June 2013 Srinagar attack;Jammu and Kashmir;8;19;
2013;July 2013 Maoist attack in Dumka;Chhattisgarh;5;0;
2013;Bodh Gaya bombings;Bihar;0;5;
2013;2013 Patna bombings;Bihar;5;66;
2013;2013 Jalpaiguri bombing;West Bengal;5;5;
1905;2014 Chhattisgarh attack;Chhattisgarh;16;3;
2014;Blast in Jharkhand[30];Jharkhand;8;18;
2014;Blast in Budgam District[31];Jammu and Kashmir;0;18;
2014;2014 Chennai train bombing;Tamil Nadu;1;14;
2014;May 2014 Assam violence;Assam;33;0;
2014;Maoist blast in Gadchiroli District[32];Jharkhand;7;2;
2014;December 2014 Assam violence;Assam;85;0;
2014;Bomb blast at Church Street, Bangalore[33];Bengaluru;1;5;
2015;Ara Civil Court bombing;Bihar;2;7;
2015;2015 Jammu attack[34];Jammu and Kashmir;6;10;
1905;2015 Manipur ambush;Manipur;176;15;
2015;2015 Gurdaspur attack in Dina Nagar, Gurdaspur district;Punjab;10;15;
2016;2016 Pathankot attack in Pathankot Air Force Station, Pathankot;Punjab;7;0;
2016;2016 Pampore attack;Pampore;8;22;
2016;2016 Kokrajhar Attack.[35];Kokrajhar, Assam;14;15;
2016;2016 Uri attack[36];Uri, J&K;20;8;
2016;2016 Baramulla attack;Baramulla, J&K;0;0;
2016;2016 Handwara attack at rashtriya riffles camp;Handwara, J&K;0;0;
2016;2016 Nagrota Attack;Nagrota, J&K;10;0;
2017;2017 Sukma attack;Sukma district, Chhattisgarh;26;0;
2017;2017 Bhopal–Ujjain Passenger train bombing;Bhopal, Madhya Pradesh;0;10;
2017;2017 Amarnath Yatra attack;Anantnag, Jammu & Kashmir;7;6;
2018;2018 Sukma attack;Sukma district, Chhattisgarh;9;0;
